68.2.195.248 - - [01/May/2016:19:52:55 -0700] "GET /rw_common/themes/volante/css/font/footer_open.css HTTP/1.1" 200 75 "http://swanksalon.info/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36" "swanksalon.info"
68.2.195.248 - - [01/May/2016:19:52:55 -0700] "GET /rw_common/themes/volante/css/font/headings_noticia.css HTTP/1.1" 200 159 "http://swanksalon.info/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36" "swanksalon.info"
68.2.195.248 - - [01/May/2016:19:52:55 -0700] "GET /rw_common/themes/volante/css/font/content_open.css HTTP/1.1" 200 78 "http://swanksalon.info/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36" "swanksalon.info"
68.2.195.248 - - [01/May/2016:19:52:55 -0700] "GET /rw_common/themes/volante/javascript.js HTTP/1.1" 200 14605 "http://swanksalon.info/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36" "swanksalon.info"
68.2.195.248 - - [01/May/2016:19:52:55 -0700] "GET /rw_common/themes/volante/css/font/content_12px.css HTTP/1.1" 200 49 "http://swanksalon.info/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36" "swanksalon.info"
68.2.195.248 - - [01/May/2016:19:52:55 -0700] "GET /rw_common/themes/volante/scripts/function.js HTTP/1.1" 200 94309 "http://swanksalon.info/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36" "swanksalon.info"
68.2.195.248 - - [01/May/2016:19:52:55 -0700] "GET /rw_common/themes/volante/scripts/retina.js HTTP/1.1" 200 1325 "http://swanksalon.info/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36" "swanksalon.info"
68.2.195.248 - - [01/May/2016:19:52:55 -0700] "GET /rw_common/themes/volante/scripts/modernizr.min.js HTTP/1.1" 200 7534 "http://swanksalon.info/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36" "swanksalon.info"
68.2.195.248 - - [01/May/2016:19:52:55 -0700] "GET /rw_common/themes/volante/scripts/slideshow/jquery.easing.1.3.js HTTP/1.1" 200 8097 "http://swanksalon.info/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36" "swanksalon.info"
68.2.195.248 - - [01/May/2016:19:52:55 -0700] "GET /rw_common/themes/volante/scripts/banner/banner_other.js HTTP/1.1" 200 100 "http://swanksalon.info/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36" "swanksalon.info"
68.2.195.248 - - [01/May/2016:19:52:55 -0700] "GET /rw_common/themes/volante/scripts/sidebar/right.js HTTP/1.1" 200 145 "http://swanksalon.info/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36" "swanksalon.info"
